uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
	2006.000000,,,-3.25122,18.288,0.010420,0.005734,2006-01-01
	2006.002686,,,-3.25122,6.10481,0.013532,0.005253,2006-01-02
	2006.005493,,,-3.25122,14.985,0.016421,0.004806,2006-01-03
	2006.008179,,,-3.25122,4.65582,0.019340,0.004355,2006-01-04
	2006.010986,,,-3.25122,0.000381,0.022021,0.003940,2006-01-05
	2006.013672,,,-3.25122,0.761898,0.024586,0.003543,2006-01-06
	2006.016479,,,-3.25122,0.25842,0.027129,0.003149,2006-01-07
	2006.019165,,,-3.25122,4.318,0.029419,0.002794,2006-01-08
	2006.021851,,,-3.25122,2.32298,0.031652,0.002447,2006-01-09
	2006.024658,,,-3.25122,0.502945,0.033623,0.002141,2006-01-10
	2006.027344,,,-3.25122,0.000127,0.035500,0.001849,2006-01-11
	2006.030151,,,-3.25122,7.36242,0.037108,0.001598,2006-01-12
	2006.032837,,,-3.25122,0.000889,0.038522,0.001378,2006-01-13
	2006.035645,,,-3.25122,0.0036068,0.039782,0.001180,2006-01-14
	2006.038330,,,-3.25122,3.302,0.040796,0.001021,2006-01-15
	2006.041016,,,-3.25122,2.5623,0.041805,0.000862,2006-01-16
	2006.043823,,,-3.25122,0.0001016,0.042739,0.000714,2006-01-17
	2006.046509,,,-3.25122,1.74351,0.043683,0.000565,2006-01-18
	2006.049316,,,-3.25122,7.61627,0.044556,0.000427,2006-01-19
	2006.052002,,,-3.25122,0.000889,0.045401,0.000293,2006-01-20
	2006.054810,,,-3.25122,1.26903,0.046254,0.000157,2006-01-21
	2006.057495,,,-3.25122,0.253949,0.047042,0.000032,2006-01-22
	2006.060181,,,-3.25122,0.000127,0.047837,-0.000095,2006-01-23
	2006.062988,,,-3.25122,0,0.048572,-0.000212,2006-01-24
	2006.065674,,,-3.25122,0,0.049312,-0.000330,2006-01-25
	2006.068481,,,-3.25122,0.517652,0.049995,-0.000440,2006-01-26
	2006.071167,,,-3.25122,1.77526,0.050655,-0.000545,2006-01-27
	2006.073975,,,-3.25122,2.0477,0.051319,-0.000651,2006-01-28
	2006.076660,,,-3.25122,8.128,0.051931,-0.000749,2006-01-29
	2006.079346,,,-3.25122,1.02359,0.052548,-0.000848,2006-01-30
	2006.082153,,,-3.25122,10.6671,0.053116,-0.000938,2006-01-31
	2006.084839,,,-3.23771,3.55935,0.053688,-0.001029,2006-02-01
	2006.087646,,,-3.1577,9.39584,0.054214,-0.001113,2006-02-02
	2006.090332,,,-3.20414,3.58381,0.054721,-0.001194,2006-02-03
	2006.093140,,,-3.18272,0.0025146,0.055231,-0.001274,2006-02-04
